UTM_X	UTM_Y
-142.1	507.8
-143.7	513.6
-145.3	519.4
-146.9	525.2
-148.5	531.0
-150.1	536.8
-151.7	542.6
-153.3	548.4
-154.9	554.2
-156.5	560.0
-158.1	565.7
-159.8	571.5
-161.4	577.3
-163.0	583.1
-164.6	588.9
-166.2	594.7
-167.8	600.5
-169.4	606.3
-171.0	612.1
-172.6	617.8
-174.2	623.6
-175.8	629.4
-177.5	635.2
-179.1	641.0
-180.7	646.8
-182.3	652.6
-183.9	658.4
-185.5	664.2
-187.1	670.0
-188.7	675.7
-190.3	681.5
-191.9	687.3
-193.5	693.1
-195.2	698.9
-196.8	704.7
-198.4	710.5
-200.0	716.3
-201.6	722.1
-203.2	727.9
-204.8	733.6
-206.4	739.4
-208.0	745.2
-209.6	751.0
-211.3	756.8
-212.9	762.6
-214.5	768.4
-216.1	774.2
-217.7	780.0
-219.3	785.8
-220.9	791.5
-222.5	797.3
-224.1	803.1
-225.7	808.9
-227.3	814.7
-229.0	820.5
-230.6	826.3
-232.2	832.1
-233.8	837.9
-235.4	843.6
-237.0	849.4
-238.6	855.2
-240.2	861.0
-241.8	866.8
-243.4	872.6
-245.0	878.4
-246.7	884.2
-248.3	890.0
-249.9	895.8
-251.5	901.5
-253.1	907.3
-254.7	913.1
-256.3	918.9
-257.9	924.7
-259.5	930.5
-261.1	936.3
-262.7	942.1
-264.4	947.9
-266.0	953.7
-267.6	959.4
-269.2	965.2
-270.8	971.0
-272.4	976.8
-274.0	982.6
-275.6	988.4
-277.2	994.2
-278.8	1000.0
-280.5	1005.8
-282.1	1011.5
-283.7	1017.3
-285.3	1023.1
-286.9	1028.9
-288.5	1034.7
-290.1	1040.5
-291.7	1046.3
-293.3	1052.1
-294.9	1057.9
-296.5	1063.7
-298.2	1069.4
-299.8	1075.2
-301.4	1081.0
-303.0	1086.8
-304.6	1092.6
-306.2	1098.4
-307.8	1104.2
-309.4	1110.0
-311.0	1115.8
-312.6	1121.6
-314.2	1127.3
-315.9	1133.1
-317.5	1138.9
-319.1	1144.7
-320.7	1150.5
-322.3	1156.3
-323.9	1162.1
-325.5	1167.9
-327.1	1173.7
-328.7	1179.4
-330.3	1185.2
-331.9	1191.0
-333.6	1196.8
-335.2	1202.6
-336.8	1208.4
-338.4	1214.2
-340.0	1220.0
-341.6	1225.8
-343.2	1231.6
-344.8	1237.3
-346.4	1243.1
-348.0	1248.9
-349.6	1254.7
-351.3	1260.5
-352.9	1266.3
-354.5	1272.1
-356.1	1277.9
-357.7	1283.7
-359.3	1289.5
-360.9	1295.2
-362.5	1301.0
-364.1	1306.8
-365.7	1312.6
-367.4	1318.4
-369.0	1324.2
-370.6	1330.0
-372.2	1335.8
